Current_question_number,Guidance_URLs,Edited_question_number
C-CN6.6c/C-RE6.6c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CN6.6c/C-RE6.6c&otype=ORS&incchild=1&microsite=1&gettags=1,C-CN6.6c_C-RE6.6c
C6.7,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.7&otype=ORS&incchild=1&microsite=1&gettags=1,C6.7
C6.7a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.7a&otype=ORS&incchild=1&microsite=1&gettags=1,C6.7a
C-AC6.8/C-FB6.8/C-PF6.8,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC6.8/C-FB6.8/C-PF6.8&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC6.8_C-FB6.8_C-PF6.8
C-AC6.8a/C-FB6.8a/C-PF6.8a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC6.8a/C-FB6.8a/C-PF6.8a&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC6.8a_C-FB6.8a_C-PF6.8a
C-AC6.9/C-FB6.9/C-PF6.9,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC6.9/C-FB6.9/C-PF6.9&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC6.9_C-FB6.9_C-PF6.9
C-AC6.9a/C-FB6.9a/C-PF6.9a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-AC6.9a/C-FB6.9a/C-PF6.9a&otype=ORS&incchild=1&microsite=1&gettags=1,C-AC6.9a_C-FB6.9a_C-PF6.9a
C6.10,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.10&otype=ORS&incchild=1&microsite=1&gettags=1,C6.10
C-CE6.11,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CE6.11&otype=ORS&incchild=1&microsite=1&gettags=1,C-CE6.11
C-OG6.12,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG6.12&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG6.12
C-OG6.13,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG6.13&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG6.13
C-ST6.14,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-ST6.14&otype=ORS&incchild=1&microsite=1&gettags=1,C-ST6.14
C-TS6.15,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-TS6.15&otype=ORS&incchild=1&microsite=1&gettags=1,C-TS6.15
C7.1,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C7.1&otype=ORS&incchild=1&microsite=1&gettags=1,C7.1
C7.1a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C7.1a&otype=ORS&incchild=1&microsite=1&gettags=1,C7.1a
C-CO7.1b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CO7.1b&otype=ORS&incchild=1&microsite=1&gettags=1,C-CO7.1b
C-EU7.1b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-EU7.1b&otype=ORS&incchild=1&microsite=1&gettags=1,C-EU7.1b
C-OG7.1b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG7.1b&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG7.1b
C7.2,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C7.2&otype=ORS&incchild=1&microsite=1&gettags=1,C7.2
C7.3,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C7.3&otype=ORS&incchild=1&microsite=1&gettags=1,C7.3
C7.3a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C7.3a&otype=ORS&incchild=1&microsite=1&gettags=1,C7.3a
C7.3b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C7.3b&otype=ORS&incchild=1&microsite=1&gettags=1,C7.3b
